"Supplied Name","guid","scientificName","family","kingdom"
"Protoparmelia memnonia","NHMSYS0001494840","Protoparmelia memnonia","Parmeliaceae","Fungi"
"Japewiella tavaresiana","NHMSYS0001485585","Japewiella tavaresiana","Lecanoraceae","Fungi"
"Collemopsidium caesium","NHMSYS0020535234","Collemopsidium caesium","Xanthopyreniaceae","Fungi"
"Micarea turfosa","NHMSYS0001489470","Micarea turfosa","Pilocarpaceae","Fungi"
"Pertusaria flavida","NHMSYS0001492294","Pertusaria flavida","Pertusariaceae","Fungi"
"Pyrenula nitidella","NHMSYS0001495931","Pyrenula nitidella","Pyrenulaceae","Fungi"
"Rhizocarpon polycarpum","NBNSYS0000039771","Rhizocarpon polycarpum","Rhizocarpaceae","Fungi"
"Thelidium minutulum","NHMSYS0001499639","Thelidium minutulum","Verrucariaceae","Fungi"
"Cladonia polydactyla var. polydactyla","NHMSYS0001477660","Cladonia polydactyla","Cladoniaceae","Fungi"
"Haematomma sorediatum","BMSSYS0000007601","Haematomma sorediatum","Haematommataceae","Fungi"
"Collemopsidium elegans","NHMSYS0001478336","Collemopsidium elegans","Xanthopyreniaceae","Fungi"
"Bacidia caligans","BMSSYS0000042816","Bacidina caligans","Ramalinaceae","Fungi"
"Caloplaca thallincola","NBNSYS0000020561","Caloplaca thallincola","Teloschistaceae","Fungi"
"Myriospora tangerina","BMSSYS0000048311","Myriospora tangerina","Acarosporaceae","Fungi"
"Caloplaca citrina s. lat.","BMSSYS0000289920","Caloplaca citrina s. lat.","Teloschistaceae","Fungi"
"Micarea curvata","NBNSYS0000041618","Micarea curvata","Pilocarpaceae","Fungi"
"Micarea botryoides","NBNSYS0000018813","Micarea botryoides","Pilocarpaceae","Fungi"
"Lecidea exigua","NHMSYS0021645830","Traponora varians","Lecanoraceae","Fungi"
"Tephromela grumosa","NHMSYS0000364283","Tephromela grumosa","Mycoblastaceae","Fungi"
"Cladonia subulata","NHMSYS0001477679","Cladonia subulata","Cladoniaceae","Fungi"
"Thelocarpon magnussonii","NHMSYS0001499650","Thelocarpon magnussonii","Thelocarpaceae","Fungi"
"Staurothele bacilligera","NBNSYS0000020636","Staurothele bacilligera","Verrucariaceae","Fungi"
"Diplotomma alboatrum","NBNSYS0000018473","Diplotomma alboatrum","Caliciaceae","Fungi"
"Hydropunctaria rheitrophila","NHMSYS0020990289","Hydropunctaria rheitrophila","Verrucariaceae","Fungi"
"Diplotomma hedinii","NHMSYS0020535385","Diplotomma hedinii","Caliciaceae","Fungi"
"Cladonia furcata subsp. subrangiformis","NHMSYS0001477639","Cladonia furcata subsp. subrangiformis","Cladoniaceae","Fungi"
"Strigula thelopsidoides","NHMSYS0001499164","Strigula thelopsidoides","Strigulaceae","Fungi"
"Dermatocarpon intestiniforme","NHMSYS0001480498","Dermatocarpon intestiniforme","Verrucariaceae","Fungi"
"Collema undulatum var. granulosum","NHMSYS0021576923","Lathagrium undulatum var. granulosum","Collemataceae","Fungi"
"Lepraria humida","BMSSYS0000047367","Lepraria humida","Stereocaulaceae","Fungi"
"Lecanora albescens","BMSSYS0000048292","Myriolecis albescens","Lecanoraceae","Fungi"
"Chaenotheca stemonea","NBNSYS0000015552","Chaenotheca stemonea","Coniocybaceae","Fungi"
"Lepraria nivalis","NHMSYS0001442931","Lepraria nivalis","Stereocaulaceae","Fungi"
"Thamnolia vermicularis var. subuliformis","NHMSYS0001499500","Thamnolia vermicularis","Icmadophilaceae","Fungi"
"Catillaria gilbertii","BMSSYS0000003348","Catillaria gilbertii","Catillariaceae","Fungi"
"Megalaria laureri","NHMSYS0001489022","Megalaria laureri","Megalariaceae","Fungi"
"Micarea subviridescens","NBNSYS0000151561","Micarea subviridescens","Pilocarpaceae","Fungi"
"Bacidia carneoglauca","BMSSYS0000731139","Aquacidia antricola","Ramalinaceae","Fungi"
"Arthonia mediella","NBNSYS0000041602","Arthonia mediella","Arthoniaceae","Fungi"
"Lecidea promiscua","BMSSYS0000009988","Lecidea promiscua","Lecideaceae","Fungi"
"Micarea viridiatra","NBNSYS0000018843","Micarea viridiatra","Pilocarpaceae","Fungi"
"Lobaria virens","BMSSYS0000016393","Ricasolia laetevirens","Lobariaceae","Fungi"
"Anisomeridium biforme","NHMSYS0001474641","Anisomeridium biforme","Monoblastiaceae","Fungi"
"Lecidoma demissum","NBNSYS0000018750","Lecidoma demissum","Lecideaceae","Fungi"
"Pectenia plumbea s. lat.","BMSSYS0000534062","Pectenia plumbea s. lat.","Pannariaceae","Fungi"
"Herteliana gagei","NHMSYS0019999615","Herteliana gagei","Ramalinaceae","Fungi"
"Peltigera horizontalis","NBNSYS0000019327","Peltigera horizontalis","Peltigeraceae","Fungi"
"Rinodina parasitica","NBNSYS0000039783","Rinodina parasitica","Physciaceae","Fungi"
"Pyrrhospora quernea","NHMSYS0001495944","Pyrrhospora quernea","Lecanoraceae","Fungi"
"Peltigera canina","BMSSYS0000048987","Peltigera canina s. lat.","Peltigeraceae","Fungi"
"Rhizocarpon chioneum","NBNSYS0000039747","Rhizocarpon chioneum","Rhizocarpaceae","Fungi"
"Aspicilia tuberculosa","NBNSYS0000039577","Aspicilia tuberculosa","Megasporaceae","Fungi"
"Caloplaca ulcerosa","NHMSYS0001476662","Caloplaca ulcerosa","Teloschistaceae","Fungi"
"Epigloea grummannii","NHMSYS0001481833","Epigloea grummannii","Epigloeaceae","Fungi"
"Lecidea siderolithica","BMSSYS0000010024","Lecidea siderolithica","Lecideaceae","Fungi"
"Usnea fragilescens var. mollis","NHMSYS0001501170","Usnea fragilescens var. mollis","Parmeliaceae","Fungi"
"Micarea cinerea f. tenuispora","NHMSYS0001489446","Micarea cinerea f. tenuispora","Pilocarpaceae","Fungi"
"Lepraria umbricola","BMSSYS0000010292","Lepraria umbricola","Stereocaulaceae","Fungi"
"Protothelenella sphinctrinoides","NBNSYS0000039729","Protothelenella sphinctrinoides","Protothelenellaceae","Fungi"
"Staurothele geoica","NHMSYS0001498851","Staurothele geoica","Verrucariaceae","Fungi"
"Cladonia peziziformis","NBNSYS0000018391","Cladonia peziziformis","Cladoniaceae","Fungi"
"Rinodina subpariata","BMSSYS0000050678","Rinodina subpariata","Physciaceae","Fungi"
"Pectenia cyanoloma","BMSSYS0000048975","Pectenia cyanoloma","Pannariaceae","Fungi"
"Micarea micrococca","NHMSYS0001489459","Micarea micrococca","Pilocarpaceae","Fungi"
"Amandinea pelidna","NHMSYS0020989709","Amandinea pelidna","Caliciaceae","Fungi"
"Agonimia tristicula","NBNSYS0000020587","Agonimia tristicula","Verrucariaceae","Fungi"
"Collema fragile","BMSSYS0000051050","Scytinium fragile","Collemataceae","Fungi"
"Ainoa mooreana","NHMSYS0001474269","Ainoa mooreana","Baeomycetaceae","Fungi"
"Cladonia stereoclada","NHMSYS0001477676","Cladonia stereoclada","Cladoniaceae","Fungi"
"Lambiella gyrizans","BMSSYS0000046913","Lambiella gyrizans","Trapeliaceae","Fungi"
"Lecidea paupercula","NHMSYS0001486839","Lecidea paupercula","Lecideaceae","Fungi"
"Lecidella wulfenii","NBNSYS0000018749","Lecidella wulfenii","Lecanoraceae","Fungi"
"Pannaria hookeri","NHMSYS0001491682","Pannaria hookeri","Pannariaceae","Fungi"
"Calicium trabinellum","NBNSYS0000015543","Calicium trabinellum","Caliciaceae","Fungi"
"Caloplaca approximata","NBNSYS0000039592","Caloplaca approximata","Teloschistaceae","Fungi"
"Arthothelium norvegicum","NHMSYS0001475015","Arthothelium norvegicum","Arthoniaceae","Fungi"
"Catillaria nigroclavata","NBNSYS0000018320","Catillaria nigroclavata","Catillariaceae","Fungi"
"Micarea assimilata","NBNSYS0000018811","Micarea assimilata","Pilocarpaceae","Fungi"
"Pycnothelia papillaria","NHMSYS0001495833","Pycnothelia papillaria","Cladoniaceae","Fungi"
"Lecania turicensis","NHMSYS0001486290","Lecania turicensis","Ramalinaceae","Fungi"
"Melanelia hepatizon","BMSSYS0000011042","Melanelia hepatizon","Parmeliaceae","Fungi"
"Cladonia coniocraea","NHMSYS0001477618","Cladonia coniocraea","Cladoniaceae","Fungi"
"Rinodina sophodes","NHMSYS0001496506","Rinodina sophodes","Physciaceae","Fungi"
"Lepraria rigidula","NHMSYS0020990498","Lepraria rigidula","Stereocaulaceae","Fungi"
"Buellia insignis","NHMSYS0001499483","Tetramelas insignis","Caliciaceae","Fungi"
"Schismatomma niveum","BMSSYS0000731192","Snippocia nivea","Roccellaceae","Fungi"
"Strigula confusa","NHMSYS0020105983","Strigula confusa","Strigulaceae","Fungi"
"Rinodina isidioides","NBNSYS0000019008","Rinodina isidioides","Physciaceae","Fungi"
"Catinaria atropurpurea","NHMSYS0001476940","Catinaria atropurpurea","Ramalinaceae","Fungi"
"Peltigera scabrosa","NBNSYS0000019337","Peltigera scabrosa","Peltigeraceae","Fungi"
"Caloplaca maritima","NHMSYS0020989895","Caloplaca maritima","Teloschistaceae","Fungi"
"Lecanora rupicola var. rupicola","NHMSYS0001486447","Lecanora rupicola var. rupicola","Lecanoraceae","Fungi"
"Trapeliopsis pseudogranulosa","NHMSYS0001499953","Trapeliopsis pseudogranulosa","Trapeliaceae","Fungi"
"Biatora veteranorum","NHMSYS0020989803","Biatora veteranorum","Ramalinaceae","Fungi"
"Bryoria nadvornikiana","NBNSYS0000018262","Bryoria nadvornikiana","Parmeliaceae","Fungi"
"Pachyphiale ophiospora","BMSSYS0000290010","Pachyphiale ophiospora","Gyalectaceae","Fungi"
"Gyalecta foveolaris","NBNSYS0000016967","Gyalecta foveolaris","Gyalectaceae","Fungi"
"Bacidia biatorina","NHMSYS0001475416","Bacidia biatorina","Ramalinaceae","Fungi"
"Chaenotheca chlorella","NHMSYS0001477235","Chaenotheca chlorella","Coniocybaceae","Fungi"
"Lecanora cinereofusca","NBNSYS0000039651","Lecanora cinereofusca","Lecanoraceae","Fungi"
"Aspicilia radiosa","BMSSYS0000002006","Aspicilia radiosa","Megasporaceae","Fungi"
"Lecidea paraclitica","NBNSYS0000018702","Lecidea paraclitica","Lecideaceae","Fungi"
"Micarea lignaria var. endoleuca","NHMSYS0000840849","Micarea lignaria var. endoleuca","Pilocarpaceae","Fungi"
"Placopyrenium cinereoatratum","NHMSYS0020535933","Placopyrenium cinereoatratum","Verrucariaceae","Fungi"
"Micarea peliocarpa","NHMSYS0001489461","Micarea peliocarpa","Pilocarpaceae","Fungi"
"Verrucaria dufourii","NBNSYS0000020678","Verrucaria dufourii","Verrucariaceae","Fungi"
"Stereocaulon saxatile","NBNSYS0000019063","Stereocaulon saxatile","Stereocaulaceae","Fungi"
"Pyrenula hibernica","NHMSYS0001495926","Pyrenula hibernica","Pyrenulaceae","Fungi"
"Caloplaca flavescens","NHMSYS0001476645","Caloplaca flavescens","Teloschistaceae","Fungi"
"Buellia hyperbolica","BMSSYS0000002968","Buellia hyperbolica","Caliciaceae","Fungi"
"Buellia ocellata","NHMSYS0001476332","Buellia ocellata","Caliciaceae","Fungi"
"Trapelia glebulosa s. lat.","BMSSYS0000728281","Trapelia glebulosa s. lat.","Trapeliaceae","Fungi"
"Cladonia humilis","NHMSYS0001477644","Cladonia humilis","Cladoniaceae","Fungi"
"Umbilicaria spodochroa","NBNSYS0000019132","Umbilicaria spodochroa","Umbilicariaceae","Fungi"
"Fellhaneropsis myrtillicola","BMSSYS0000006757","Fellhaneropsis myrtillicola","Pilocarpaceae","Fungi"
"Flavocetraria nivalis","BMSSYS0000006834","Flavocetraria nivalis","Parmeliaceae","Fungi"
"Lecania cyrtella","NHMSYS0001486275","Lecania cyrtella","Ramalinaceae","Fungi"
"Staurothele succedens","NHMSYS0021645670","Nesothele succedens","Verrucariaceae","Fungi"
"Graphis ruiziana","NHMSYS0001483182","Graphis ruiziana","Graphidaceae","Fungi"
"Chaenotheca chrysocephala","NHMSYS0001477236","Chaenotheca chrysocephala","Coniocybaceae","Fungi"
"Buellia sanguinolenta","NBNSYS0000018283","Buellia sanguinolenta","Caliciaceae","Fungi"
"Cladonia symphycarpa","NHMSYS0000364640","Cladonia symphycarpa","Cladoniaceae","Fungi"
"Arthothelium dictyosporum","NBNSYS0000015521","Arthothelium dictyosporum","Arthoniaceae","Fungi"
"Lecanora chlarotera","NBNSYS0000018579","Lecanora chlarotera","Lecanoraceae","Fungi"
"Verrucaria praetermissa","NBNSYS0000020703","Verrucaria praetermissa","Verrucariaceae","Fungi"
"Rinodina milvina","NHMSYS0001496498","Rinodina milvina","Physciaceae","Fungi"
"Lecanora compallens","BMSSYS0000009491","Lecanora compallens","Lecanoraceae","Fungi"
"Trapeliopsis viridescens","NBNSYS0000019117","Trapeliopsis viridescens","Trapeliaceae","Fungi"
"Lecidella elaeochroma f. soralifera","NHMSYS0001486985","Lecidella elaeochroma f. soralifera","Lecanoraceae","Fungi"
"Bacidia subcircumspecta","BMSSYS0000731150","Bibbya subcircumspecta","Ramalinaceae","Fungi"
"Micarea elachista","BMSSYS0000020536","Micarea elachista","Pilocarpaceae","Fungi"
"Lecidea commaculans","NHMSYS0021645745","Protomicarea commaculans","Psoraceae","Fungi"
"Opegrapha fumosa","NBNSYS0000039701","Opegrapha fumosa","Roccellaceae","Fungi"
"Polyblastia helvetica","NBNSYS0000020625","Polyblastia helvetica","Verrucariaceae","Fungi"
"Pseudocyphellaria lacerata","NBNSYS0000019353","Pseudocyphellaria lacerata","Lobariaceae","Fungi"
"Cetrariella commixta","NHMSYS0020990055","Cetrariella commixta","Parmeliaceae","Fungi"
"Calicium quercinum","NBNSYS0000015540","Calicium quercinum","Caliciaceae","Fungi"
"Sticta sylvatica","NBNSYS0000019364","Sticta sylvatica","Lobariaceae","Fungi"
"Ramonia chrysophaea","NHMSYS0001496084","Ramonia chrysophaea","Gyalectaceae","Fungi"
"Pertusaria multipuncta","BMSSYS0000598529","Lepra multipuncta",,"Fungi"
"Candelaria pacifica","NHMSYS0020989907","Candelaria pacifica","Candelariaceae","Fungi"
"Japewia tornoensis","BMSSYS0000597762","Japewia tornoensis","Ramalinaceae","Fungi"
"Peltigera ponojensis","NBNSYS0000039705","Peltigera ponojensis","Peltigeraceae","Fungi"
"Arthothelium ruanum","NBNSYS0000015525","Arthothelium ruanum","Arthoniaceae","Fungi"
"Varicellaria velata","BMSSYS0000052399","Varicellaria velata","Ochrolechiaceae","Fungi"
"Caloplaca flavovirescens","NBNSYS0000020535","Caloplaca flavovirescens","Teloschistaceae","Fungi"
"Caloplaca calcitrapa","NHMSYS0020989884","Caloplaca calcitrapa","Teloschistaceae","Fungi"
"Micarea coppinsii","NHMSYS0001489448","Micarea coppinsii","Pilocarpaceae","Fungi"
"Bacidia arceutina","NBNSYS0000019028","Bacidia arceutina","Ramalinaceae","Fungi"
"Orphniospora moriopsis var. moriopsis","NHMSYS0001491534","Orphniospora moriopsis var. moriopsis","Fuscideaceae","Fungi"
"Toninia sedifolia","BMSSYS0000731217","Thalloidima sedifolium","Ramalinaceae","Fungi"
"Buellia spuria","NHMSYS0001476340","Buellia spuria","Caliciaceae","Fungi"
"Staurothele guestphalica","NHMSYS0001498852","Staurothele guestphalica","Verrucariaceae","Fungi"
"Cyphelium tigillare","BMSSYS0000043292","Calicium tigillare","Caliciaceae","Fungi"
"Biatora efflorescens","BMSSYS0000002359","Biatora efflorescens","Ramalinaceae","Fungi"
"Biatoridium monasteriense","NBNSYS0000018249","Biatoridium monasteriense",,"Fungi"
"Enterographa elaborata","NBNSYS0000019179","Enterographa elaborata","Roccellaceae","Fungi"
"Bacidia rubella","NHMSYS0001475440","Bacidia rubella","Ramalinaceae","Fungi"
"Micarea denigrata","NBNSYS0000018815","Micarea denigrata","Pilocarpaceae","Fungi"
"Lecanora campestris subsp. dolomitica","NBNSYS0000018575","Lecanora campestris subsp. dolomitica","Lecanoraceae","Fungi"
"Xanthoria parietina","NHMSYS0001501925","Xanthoria parietina","Teloschistaceae","Fungi"
"Usnea flammea","NBNSYS0000019139","Usnea flammea","Parmeliaceae","Fungi"
"Aspicilia zonata","BMSSYS0000042736","Aspicilia zonata","Megasporaceae","Fungi"
"Psoroglaena abscondita","NHMSYS0001495446","Psoroglaena abscondita","Verrucariaceae","Fungi"
"Micarea incrassata","NBNSYS0000018818","Micarea incrassata","Pilocarpaceae","Fungi"
"Acarospora admissa","NHMSYS0001472768","Acarospora admissa","Acarosporaceae","Fungi"
"Toensbergia leucococca","BMSSYS0000051879","Toensbergia leucococca","Sporastatiaceae","Fungi"
"Flavoparmelia caperata","NBNSYS0000147457","Flavoparmelia caperata","Parmeliaceae","Fungi"
"Cladonia floerkeana","NHMSYS0001477632","Cladonia floerkeana","Cladoniaceae","Fungi"
"Cladonia bellidiflora","NBNSYS0000018348","Cladonia bellidiflora","Cladoniaceae","Fungi"
"Polyblastia albida","NBNSYS0000020617","Polyblastia albida","Verrucariaceae","Fungi"
"Psora decipiens","NBNSYS0000018965","Psora decipiens","Psoraceae","Fungi"
"Cladonia rangiferina","NHMSYS0001442627","Cladonia rangiferina","Cladoniaceae","Fungi"
"Leptogium subtorulosum","BMSSYS0000534202","Scytinium subtorulosum","Collemataceae","Fungi"
"Staurothele fissa","NBNSYS0000020640","Staurothele fissa","Verrucariaceae","Fungi"
"Leptogium tenuissimum","BMSSYS0000534203","Scytinium tenuissimum","Collemataceae","Fungi"
"Cladonia mitis","NBNSYS0000162240","Cladonia mitis","Cladoniaceae","Fungi"
"Solorina bispora var. macrospora","NHMSYS0001497674","Solorina bispora var. macrospora","Peltigeraceae","Fungi"
"Heterodermia leucomelos","NBNSYS0000018509","Heterodermia leucomelos","Physciaceae","Fungi"
"Micarea contexta","NBNSYS0000039680","Micarea contexta","Pilocarpaceae","Fungi"
"Polysporina simplex","NHMSYS0001494552","Polysporina simplex","Acarosporaceae","Fungi"
"Sticta canariensis","NBNSYS0000019361","Sticta canariensis","Lobariaceae","Fungi"
"Leptogium britannicum","NBNSYS0000018770","Leptogium britannicum","Collemataceae","Fungi"
"Miriquidica pycnocarpa f. pycnocarpa","NHMSYS0020990617","Miriquidica pycnocarpa f. pycnocarpa","Lecanoraceae","Fungi"
"Psilolechia clavulifera","NBNSYS0000018963","Psilolechia clavulifera","Psilolechiaceae","Fungi"
"Lepraria borealis","BMSSYS0000010275","Lepraria borealis","Stereocaulaceae","Fungi"
"Hypotrachyna revoluta s. lat.","BMSSYS0000533802","Hypotrachyna revoluta s. lat.","Parmeliaceae","Fungi"
"Pertusaria glomerata","NBNSYS0000019394","Pertusaria glomerata","Pertusariaceae","Fungi"
"Lecanora atromarginata","NBNSYS0000039653","Lecanora atromarginata","Lecanoraceae","Fungi"
"Leptogium pulvinatum","NHMSYS0020535622","Leptogium pulvinatum","Collemataceae","Fungi"
"Rinodina beccariana","BMSSYS0000016413","Rinodina beccariana","Physciaceae","Fungi"
"Caloplaca chrysophthalma","NBNSYS0000020523","Caloplaca chrysophthalma","Teloschistaceae","Fungi"
"Pertusaria geminipara","NHMSYS0021576878","Toensbergia geminipara","Sporastatiaceae","Fungi"
"Lecanora straminea","BMSSYS0000048305","Myriolecis straminea","Lecanoraceae","Fungi"
"Xanthoparmelia protomatrae","BMSSYS0000019750","Xanthoparmelia protomatrae","Parmeliaceae","Fungi"
"Caloplaca turkuensis","NHMSYS0020989904","Caloplaca turkuensis","Teloschistaceae","Fungi"
"Verrucaria nigroumbrina","BMSSYS0000052475","Verrucaria nigroumbrina","Verrucariaceae","Fungi"
"Xanthoparmelia tinctina","NHMSYS0001501916","Xanthoparmelia tinctina","Parmeliaceae","Fungi"
"Opegrapha corticola","NHMSYS0001491371","Opegrapha corticola","Roccellaceae","Fungi"
"Micarea subnigrata","NBNSYS0000018837","Micarea subnigrata","Pilocarpaceae","Fungi"
"Ionaspis obtecta","NHMSYS0001485521","Ionaspis obtecta","Hymeneliaceae","Fungi"
"Umbilicaria cylindrica","NBNSYS0000019123","Umbilicaria cylindrica","Umbilicariaceae","Fungi"
"Buellia uberior","NBNSYS0000039589","Buellia uberior","Caliciaceae","Fungi"
"Lecanographa lyncea","BMSSYS0000009445","Lecanographa lyncea","Lecanographaceae","Fungi"
"Heteroplacidium fusculum","NHMSYS0020990281","Heteroplacidium fusculum","Verrucariaceae","Fungi"
"Lecania baeomma","NBNSYS0000018550","Lecania baeomma","Ramalinaceae","Fungi"
"Collema subflaccidum","NBNSYS0000018451","Collema subflaccidum","Collemataceae","Fungi"
"Rhizocarpon eupetraeoides","NHMSYS0001496261","Rhizocarpon eupetraeoides","Rhizocarpaceae","Fungi"
"Micarea viridileprosa","NHMSYS0000363161","Micarea viridileprosa","Pilocarpaceae","Fungi"
"Rinodina orculariopsis","NHMSYS0001496503","Rinodina orculariopsis","Physciaceae","Fungi"
"Fissurina alboscripta","NHMSYS0001482221","Fissurina alboscripta","Fissurinaceae","Fungi"
"Myriospora rhagadiza","NHMSYS0020990630","Myriospora rhagadiza","Acarosporaceae","Fungi"
"Lepraria vouauxii","NHMSYS0001487392","Lepraria vouauxii","Stereocaulaceae","Fungi"
"Toninia diffracta","BMSSYS0000731213","Thalloidima diffractum","Ramalinaceae","Fungi"
"Hymenelia melanocarpa","BMSSYS0000008470","Hymenelia melanocarpa","Hymeneliaceae","Fungi"
"Cladonia angustiloba","BMSSYS0000043765","Cladonia angustiloba","Cladoniaceae","Fungi"
"Pectenia atlantica","BMSSYS0000048974","Pectenia atlantica","Pannariaceae","Fungi"
"Cryptodiscus gloeocapsa","BMSSYS0000044541","Cryptodiscus gloeocapsa","Stictidaceae","Fungi"
"Parmelia omphalodes","NBNSYS0000018888","Parmelia omphalodes","Parmeliaceae","Fungi"
"Catapyrenium cinereum","NBNSYS0000020588","Catapyrenium cinereum","Verrucariaceae","Fungi"
"Hymenelia rhodopis","NHMSYS0001484717","Hymenelia rhodopis","Hymeneliaceae","Fungi"
"Stereocaulon condensatum","NBNSYS0000019054","Stereocaulon condensatum","Stereocaulaceae","Fungi"
"Aspicilia melanaspis","NBNSYS0000018199","Aspicilia melanaspis","Megasporaceae","Fungi"
"Calicium lenticulare","NBNSYS0000015542","Calicium lenticulare","Caliciaceae","Fungi"
"Vezdaea stipitata","NHMSYS0001501751","Vezdaea stipitata","Vezdaeaceae","Fungi"
"Tylothallia biformigera","NBNSYS0000019120","Tylothallia biformigera","Lecanoraceae","Fungi"
"Chrysothrix chrysophthalma","NHMSYS0001477464","Chrysothrix chrysophthalma","Chrysotrichaceae","Fungi"
"Cladonia chlorophaea s. lat.","BMSSYS0000533657","Cladonia chlorophaea s. lat.","Cladoniaceae","Fungi"
"Porpidia tuberculosa","NBNSYS0000018524","Porpidia tuberculosa","Lecideaceae","Fungi"
"Rimularia mullensis","NHMSYS0021576718","Lambiella mullensis","Trapeliaceae","Fungi"
"Protoparmelia montagnei","NHMSYS0001494841","Protoparmelia montagnei","Parmeliaceae","Fungi"
"Opegrapha ochrocheila","NBNSYS0000019216","Opegrapha ochrocheila","Roccellaceae","Fungi"
"Pleopsidium chlorophanum","BMSSYS0000014701","Pleopsidium chlorophanum","Acarosporaceae","Fungi"
"Micarea ternaria","NHMSYS0001489469","Micarea ternaria","Pilocarpaceae","Fungi"
"Phylloblastia fortuita","BMSSYS0000049600","Phylloblastia fortuita","Verrucariaceae","Fungi"
"Aspicilia intermutans","NBNSYS0000018193","Aspicilia intermutans","Megasporaceae","Fungi"
"Toninia physaroides","BMSSYS0000731215","Thalloidima physaroides","Ramalinaceae","Fungi"
"Nephroma helveticum","NBNSYS0000039690","Nephroma helveticum","Nephromataceae","Fungi"
"Cladonia botrytes","NBNSYS0000018349","Cladonia botrytes","Cladoniaceae","Fungi"
"Thelenella muscorum var. muscorum","NHMSYS0001499553","Thelenella muscorum var. muscorum","Thelenellaceae","Fungi"
"Thelenella larbalestieri","NHMSYS0001499552","Thelenella larbalestieri","Thelenellaceae","Fungi"
"Caloplaca marina","NHMSYS0001476653","Caloplaca marina","Teloschistaceae","Fungi"
"Buellia subdisciformis","NBNSYS0000018287","Buellia subdisciformis","Caliciaceae","Fungi"
"Bacidia igniarii","NBNSYS0000041604","Bacidia igniarii","Ramalinaceae","Fungi"
"Pseudephebe pubescens","NHMSYS0001495149","Pseudephebe pubescens","Parmeliaceae","Fungi"
"Scutula dedicata","NHMSYS0001497378","Scutula dedicata","Pilocarpaceae","Fungi"
"Eopyrenula leucoplaca","NHMSYS0001481799","Eopyrenula leucoplaca","Dacampiaceae","Fungi"
"Lecanora farinaria","NBNSYS0000018590","Lecanora farinaria","Lecanoraceae","Fungi"
"Parmeliella parvula","BMSSYS0000012820","Parmeliella parvula","Pannariaceae","Fungi"
"Caloplaca alociza","NHMSYS0001476621","Caloplaca alociza","Teloschistaceae","Fungi"
"Lecidella elaeochroma f. elaeochroma","NHMSYS0001486984","Lecidella elaeochroma f. elaeochroma","Lecanoraceae","Fungi"
"Verrucula maritimaria","NHMSYS0020536333","Verrucula maritimaria","Verrucariaceae","Fungi"
"Leucodecton isidioides","BMSSYS0000047489","Leucodecton isidioides","Graphidaceae","Fungi"
"Cladonia novochlorophaea","NHMSYS0001477655","Cladonia novochlorophaea","Cladoniaceae","Fungi"
"Chaenotheca gracilenta","NHMSYS0001477240","Chaenotheca gracilenta","Coniocybaceae","Fungi"
"Lecanora symmicta","NBNSYS0000018633","Lecanora symmicta","Lecanoraceae","Fungi"
"Ameliella andreaeicola","NHMSYS0020987448","Ameliella andreaeicola","Lecanoraceae","Fungi"
"Schismatomma umbrinum","NBNSYS0000019196","Schismatomma umbrinum","Roccellaceae","Fungi"
"Petractis clausa","NBNSYS0000016975","Petractis clausa","Stictidaceae","Fungi"
"Catapyrenium psoromoides","NHMSYS0001476897","Catapyrenium psoromoides","Verrucariaceae","Fungi"
"Caloplaca iteana","NHMSYS0001476618","Caloplaca","Teloschistaceae","Fungi"
"Candelariella coralliza","NBNSYS0000018296","Candelariella coralliza","Candelariaceae","Fungi"
"Strigula calcarea","NHMSYS0020991114","Strigula calcarea","Strigulaceae","Fungi"
"Epigloea filifera","BMSSYS0000006624","Epigloea filifera","Epigloeaceae","Fungi"
"Placynthium flabellosum","NBNSYS0000019340","Placynthium flabellosum","Placynthiaceae","Fungi"
"Leptogium burgessii","NBNSYS0000018771","Leptogium burgessii","Collemataceae","Fungi"
"Caloplaca concilians","NBNSYS0000020527","Caloplaca concilians","Teloschistaceae","Fungi"
"Porina mammillosa","NHMSYS0001494652","Porina mammillosa","Porinaceae","Fungi"
"Stereocaulon cumulatum","NHMSYS0000364187","Stereocaulon cumulatum","Stereocaulaceae","Fungi"
"Lecanora polytropa","NHMSYS0001486431","Lecanora polytropa","Lecanoraceae","Fungi"
"Verrucaria hochstetteri","NBNSYS0000020686","Verrucaria hochstetteri","Verrucariaceae","Fungi"
"Inoderma byssaceum","BMSSYS0000046689","Inoderma byssaceum","Arthoniaceae","Fungi"
"Arthrorhaphis vacillans","NHMSYS0001475038","Arthrorhaphis vacillans","Arthrorhaphidaceae","Fungi"
"Cladonia coccifera s. lat.","BMSSYS0000533659","Cladonia coccifera s. lat.","Cladoniaceae","Fungi"
"Toninia squalescens","NHMSYS0021645530","Gilbertaria squalescens","Sphaerophoraceae","Fungi"
"Lecanora salina","BMSSYS0000048302","Myriolecis salina","Lecanoraceae","Fungi"
"Clauzadeana macula","NBNSYS0000018690","Clauzadeana macula","Lecanoraceae","Fungi"
"Ramalina lacera","NHMSYS0001496016","Ramalina lacera","Ramalinaceae","Fungi"
"Verrucaria latericola","NHMSYS0020991029","Verrucula latericola","Verrucariaceae","Fungi"
"Acarospora veronensis","NHMSYS0001472799","Acarospora veronensis","Acarosporaceae","Fungi"
"Mycoblastus sanguinarius f. sanguinarius","NHMSYS0001490329","Mycoblastus sanguinarius f. sanguinarius","Mycoblastaceae","Fungi"
