"key"	"taxonId"	"origTaxonId"	"prefTaxonName"	"dataValue"	"maxDataValue"	"origTaxon"	"origQualifier"	"notes"	"referenceSummary"	"reference entity id"
"Symphoricarpos albus (L.) S.F.Blake"	"2cd4p9h.m59"	"2cd4p9h.m59"	"Symphoricarpos albus (L.) S.F.Blake"	5	5	"Symphoricarpos albus"				
"Symphytum officinale L."	"2cd4p9h.m5c"	"2cd4p9h.m5c"	"Symphytum officinale L."	7	7	"Symphytum officinale"				
"Symphytum asperum x officinale = S. x uplandicum Nyman"	"2cd4p9h.m5f"	"2cd4p9h.m5f"	"Symphytum asperum x officinale = S. x uplandicum Nyman"	5	5	"Symphytum asperum x officinale = S. x uplandicum"				
"Tamus communis L."	"2cd4p9h.m5x"	"2cd4p9h.m5x"	"Tamus communis L."	5	5	"Tamus communis"				
"Trifolium repens L."	"2cd4p9h.m5y"	"2cd4p9h.m5y"	"Trifolium repens L."	5	5	"Trifolium repens"				
"Triglochin maritimum L."	"2cd4p9h.m5z"	"2cd4p9h.6ybqz1"	"Triglochin maritimum L."	7	7	"Triglochin maritimum"				
"Trinia glauca (L.) Dumort."	"2cd4p9h.m65"	"2cd4p9h.m65"	"Trinia glauca (L.) Dumort."	2	2	"Trinia glauca"				
"Utricularia australis R.Br."	"2cd4p9h.m6b"	"2cd4p9h.m6b"	"Utricularia australis R.Br."	12	12	"Utricularia australis"				
"Valeriana dioica L."	"2cd4p9h.m6n"	"2cd4p9h.m6n"	"Valeriana dioica L."	8	8	"Valeriana dioica"				
"Verbascum nigrum L."	"2cd4p9h.m6t"	"2cd4p9h.m6t"	"Verbascum nigrum L."	4	4	"Verbascum nigrum"				
"Verbena officinalis L."	"2cd4p9h.m71"	"2cd4p9h.m71"	"Verbena officinalis L."	5	5	"Verbena officinalis"				
"Veronica agrestis L."	"2cd4p9h.m74"	"2cd4p9h.m74"	"Veronica agrestis L."	6	6	"Veronica agrestis"				
"Veronica triphyllos L."	"2cd4p9h.m77"	"2cd4p9h.m77"	"Veronica triphyllos L."	4	4	"Veronica triphyllos"				
"Veronica verna L."	"2cd4p9h.m7a"	"2cd4p9h.m7a"	"Veronica verna L."	2	2	"Veronica verna"				
"Viburnum opulus L."	"2cd4p9h.m7d"	"2cd4p9h.m7d"	"Viburnum opulus L."	7	7	"Viburnum opulus"				
"Viola palustris L."	"2cd4p9h.m7w"	"2cd4p9h.m7w"	"Viola palustris L."	9	9	"Viola palustris"				
"Viola reichenbachiana Jord. ex Boreau"	"2cd4p9h.m7m"	"2cd4p9h.m7m"	"Viola reichenbachiana Jord. ex Boreau"	6	6	"Viola reichenbachiana"				
"Salicornia L."	"2cd4p9h.m7s"	"2cd4p9h.m7s"	"Salicornia L."	7	7	"Salicornia"				
"Atriplex longipes Drejer"	"2cd4p9h.m83"	"2cd4p9h.m83"	"Atriplex longipes Drejer"	6	6	"Atriplex longipes"				
"Gagea bohemica (Zauschn.) Schult. & Schult.f."	"2cd4p9h.m86"	"2cd4p9h.m86"	"Gagea bohemica (Zauschn.) Schult. & Schult.f."	2	2	"Gagea bohemica"				
"Cicerbita macrophylla (Willd.) Wallr."	"2cd4p9h.m92"	"2cd4p9h.m92"	"Cicerbita macrophylla (Willd.) Wallr."	5	5	"Cicerbita macrophylla"				
"Pinus contorta Douglas ex Loudon"	"2cd4p9h.m9b"	"2cd4p9h.m9b"	"Pinus contorta Douglas ex Loudon"	5	5	"Pinus contorta"				
"Arctium minus (Hill) Bernh. s.s."	"2cd4p9h.m9e"	"2cd4p9h.m9e"	"Arctium minus (Hill) Bernh. s.s."	4	4	"Arctium minus"	"s.s."			
"Solidago gigantea Aiton"	"2cd4p9h.m9q"	"2cd4p9h.m9q"	"Solidago gigantea Aiton"	5	5	"Solidago gigantea"				
"Rorippa islandica (Oeder ex Gunnerus) Borbás s.s."	"2cd4p9h.mb3"	"2cd4p9h.mb3"	"Rorippa islandica (Oeder ex Gunnerus) Borbás s.s."	8	8	"Rorippa islandica"	"s.s."			
"Sagina apetala Ard."	"2cd4p9h.mbf"	"2cd4p9h.mbf"	"Sagina apetala Ard."	4	4	"Sagina apetala"				
"Campanula portenschlagiana Schult."	"2cd4p9h.mcb"	"2cd4p9h.mcb"	"Campanula portenschlagiana Schult."	5	5	"Campanula portenschlagiana"				
"Avena sativa L."	"2cd4p9h.mh0"	"2cd4p9h.mh0"	"Avena sativa L."	5	5	"Avena sativa"				
"Pilosella flagellaris (Willd.) P.D.Sell & C.West subsp. flagellaris"	"2cd4p9h.mvt"	"2cd4p9h.mvt"	"Pilosella flagellaris (Willd.) P.D.Sell & C.West subsp. flagellaris"	4	4	"Pilosella flagellaris subsp. flagellaris"				
"Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip."	"2cd4p9h.mwp"	"2cd4p9h.mwp"	"Pilosella peleteriana (Mérat) F.W.Schultz & Sch.Bip."	3	3	"Pilosella peleteriana"				
"Oenothera L."	"2cd4p9h.n1x"	"2cd4p9h.n1x"	"Oenothera L."	4	4	"Oenothera"				
"Coincya monensis (L.) Greuter & Burdet"	"2cd4p9h.n7x"	"2cd4p9h.n7x"	"Coincya monensis (L.) Greuter & Burdet"	4	4	"Coincya monensis"				
"Gladiolus communis L."	"2cd4p9h.n85"	"2cd4p9h.n85"	"Gladiolus communis L."	4	4	"Gladiolus communis"				
"Elymus caninus (L.) L."	"2cd4p9h.nbq"	"2cd4p9h.nbq"	"Elymus caninus (L.) L."	6	6	"Elymus caninus"				
"Trifolium incarnatum L."	"2cd4p9h.nvm"	"2cd4p9h.nvm"	"Trifolium incarnatum L."	2	2	"Trifolium incarnatum"				
"Alchemilla acutiloba Opiz"	"2cd4p9h.nqq"	"2cd4p9h.nqq"	"Alchemilla acutiloba Opiz"	4	4	"Alchemilla acutiloba"				
"Crepis foetida L."	"2cd4p9h.nqt"	"2cd4p9h.nqt"	"Crepis foetida L."	4	4	"Crepis foetida"				
"Erica mackaiana Bab."	"2cd4p9h.nr7"	"2cd4p9h.nr7"	"Erica mackaiana Bab."	8	8	"Erica mackaiana"				
"Solanum sarrachoides Sendtn."	"2cd4p9h.nrs"	"2cd4p9h.nrs"	"Solanum sarrachoides Sendtn."	4	4	"Solanum sarrachoides"				
"Trifolium strictum L."	"2cd4p9h.ns0"	"2cd4p9h.ns0"	"Trifolium strictum L."	2	2	"Trifolium strictum"				
"Lactuca saligna L."	"2cd4p9h.ns6"	"2cd4p9h.ns6"	"Lactuca saligna L."	4	4	"Lactuca saligna"				
"Phyllodoce caerulea (L.) Bab."	"2cd4p9h.y15"	"2cd4p9h.y15"	"Phyllodoce caerulea (L.) Bab."	4	4	"Phyllodoce caerulea"				
"Moneses uniflora (L.) A.Gray"	"2cd4p9h.y2g"	"2cd4p9h.y2g"	"Moneses uniflora (L.) A.Gray"	5	5	"Moneses uniflora"				
"Orchis purpurea Huds."	"2cd4p9h.y3v"	"2cd4p9h.y3v"	"Orchis purpurea Huds."	4	4	"Orchis purpurea"				
"Seseli libanotis (L.) W.D.J.Koch"	"2cd4p9h.y4e"	"2cd4p9h.y4e"	"Seseli libanotis (L.) W.D.J.Koch"	4	4	"Seseli libanotis"				
"Euphorbia peplis L."	"2cd4p9h.y5d"	"2cd4p9h.y5d"	"Euphorbia peplis L."	4	4	"Euphorbia peplis"				
"Anogramma leptophylla (L.) Link"	"2cd4p9h.y8s"	"2cd4p9h.y8s"	"Anogramma leptophylla (L.) Link"	2	2	"Anogramma leptophylla"				
"Asplenium marinum L."	"2cd4p9h.y90"	"2cd4p9h.y90"	"Asplenium marinum L."	6	6	"Asplenium marinum"				
"Equisetum fluviatile L."	"2cd4p9h.y96"	"2cd4p9h.y96"	"Equisetum fluviatile L."	10	10	"Equisetum fluviatile"				
"Equisetum ramosissimum Desf."	"2cd4p9h.y9c"	"2cd4p9h.y9c"	"Equisetum ramosissimum Desf."	4	4	"Equisetum ramosissimum"				
"Lycopodiella inundata (L.) Holub"	"2cd4p9h.y9v"	"2cd4p9h.y9v"	"Lycopodiella inundata (L.) Holub"	9	9	"Lycopodiella inundata"				
"Ophioglossum vulgatum L."	"2cd4p9h.y9x"	"2cd4p9h.y9x"	"Ophioglossum vulgatum L."	7	7	"Ophioglossum vulgatum"				
"Polypodium cambricum L."	"2cd4p9h.y9y"	"2cd4p9h.y9y"	"Polypodium cambricum L."	5	5	"Polypodium cambricum"				
"Pteridium aquilinum (L.) Kuhn"	"2cd4p9h.y9r"	"2cd4p9h.y9r"	"Pteridium aquilinum (L.) Kuhn"	5	5	"Pteridium aquilinum"				
"Oreopteris limbosperma (All.) Holub"	"2cd4p9h.ya2"	"2cd4p9h.ya2"	"Oreopteris limbosperma (All.) Holub"	6	6	"Oreopteris limbosperma"				
"Gymnocarpium robertianum (Hoffm.) Newman"	"2cd4p9h.ya5"	"2cd4p9h.ya5"	"Gymnocarpium robertianum (Hoffm.) Newman"	3	3	"Gymnocarpium robertianum"				
"Acer campestre L."	"2cd4p9h.yah"	"2cd4p9h.yah"	"Acer campestre L."	5	5	"Acer campestre"				
"Ajuga chamaepitys (L.) Schreb."	"2cd4p9h.yb4"	"2cd4p9h.yb4"	"Ajuga chamaepitys (L.) Schreb."	4	4	"Ajuga chamaepitys"				
"Alliaria petiolata (M.Bieb.) Cavara & Grande"	"2cd4p9h.ybd"	"2cd4p9h.ybd"	"Alliaria petiolata (M.Bieb.) Cavara & Grande"	6	6	"Alliaria petiolata"				
"Ammophila arenaria (L.) Link"	"2cd4p9h.ybg"	"2cd4p9h.ybg"	"Ammophila arenaria (L.) Link"	4	4	"Ammophila arenaria"				
"Anthriscus caucalis M.Bieb."	"2cd4p9h.ybs"	"2cd4p9h.ybs"	"Anthriscus caucalis M.Bieb."	5	5	"Anthriscus caucalis"				
"Antirrhinum majus L."	"2cd4p9h.yc3"	"2cd4p9h.yc3"	"Antirrhinum majus L."	3	3	"Antirrhinum majus"				
"Aquilegia vulgaris L."	"2cd4p9h.yc6"	"2cd4p9h.yc6"	"Aquilegia vulgaris L."	4	4	"Aquilegia vulgaris"				
"Arum maculatum L."	"2cd4p9h.ycr"	"2cd4p9h.ycr"	"Arum maculatum L."	5	5	"Arum maculatum"				
"Arum italicum Mill."	"2cd4p9h.ycz"	"2cd4p9h.ycz"	"Arum italicum Mill."	5	5	"Arum italicum"				
"Blysmus rufus (Huds.) Link"	"2cd4p9h.yde"	"2cd4p9h.yde"	"Blysmus rufus (Huds.) Link"	8	8	"Blysmus rufus"				
"Brassica rapa L."	"2cd4p9h.ydn"	"2cd4p9h.ydn"	"Brassica rapa L."	5	5	"Brassica rapa"				
"Bromopsis ramosa (Huds.) Holub"	"2cd4p9h.ydq"	"2cd4p9h.ydq"	"Bromopsis ramosa (Huds.) Holub"	6	6	"Bromopsis ramosa"				
"Buxus sempervirens L."	"2cd4p9h.ydt"	"2cd4p9h.ydt"	"Buxus sempervirens L."	4	4	"Buxus sempervirens"				
"Calendula officinalis L."	"2cd4p9h.ye1"	"2cd4p9h.ye1"	"Calendula officinalis L."	5	5	"Calendula officinalis"				
"Callitriche stagnalis Scop. s.s."	"2cd4p9h.ye4"	"2cd4p9h.ye4"	"Callitriche stagnalis Scop. s.s."	10	10	"Callitriche stagnalis"	"s.s."			
"Calluna vulgaris (L.) Hull"	"2cd4p9h.yea"	"2cd4p9h.yea"	"Calluna vulgaris (L.) Hull"	6	6	"Calluna vulgaris"				
"Calystegia sepium (L.) R.Br."	"2cd4p9h.yeg"	"2cd4p9h.yeg"	"Calystegia sepium (L.) R.Br."	8	8	"Calystegia sepium"				
"Campanula persicifolia L."	"2cd4p9h.yew"	"2cd4p9h.yew"	"Campanula persicifolia L."	5	5	"Campanula persicifolia"				
"Campanula rapunculus L."	"2cd4p9h.yem"	"2cd4p9h.yem"	"Campanula rapunculus L."	3	3	"Campanula rapunculus"				
"Campanula trachelium L."	"2cd4p9h.yep"	"2cd4p9h.yep"	"Campanula trachelium L."	5	5	"Campanula trachelium"				
"Capsella bursa-pastoris (L.) Medik."	"2cd4p9h.yes"	"2cd4p9h.yes"	"Capsella bursa-pastoris (L.) Medik."	5	5	"Capsella bursa-pastoris"				
"Carex acutiformis Ehrh."	"2cd4p9h.yf3"	"2cd4p9h.yf3"	"Carex acutiformis Ehrh."	9	9	"Carex acutiformis"				
"Carex aquatilis Wahlenb."	"2cd4p9h.yf6"	"2cd4p9h.yf6"	"Carex aquatilis Wahlenb."	10	10	"Carex aquatilis"				
"Carex atrata L."	"2cd4p9h.yf9"	"2cd4p9h.yf9"	"Carex atrata L."	5	5	"Carex atrata"				
"Carex atrofusca Schkuhr"	"2cd4p9h.yfc"	"2cd4p9h.yfc"	"Carex atrofusca Schkuhr"	9	9	"Carex atrofusca"				
"Carex binervis Sm."	"2cd4p9h.yff"	"2cd4p9h.yff"	"Carex binervis Sm."	6	6	"Carex binervis"				
"Carex ericetorum Pollich"	"2cd4p9h.yfv"	"2cd4p9h.yfv"	"Carex ericetorum Pollich"	4	4	"Carex ericetorum"				
"Carex humilis Leyss."	"2cd4p9h.yfy"	"2cd4p9h.yfy"	"Carex humilis Leyss."	3	3	"Carex humilis"				
"Carex microglochin Wahlenb."	"2cd4p9h.yfr"	"2cd4p9h.yfr"	"Carex microglochin Wahlenb."	9	9	"Carex microglochin"				
"Carex ornithopoda Willd."	"2cd4p9h.yfz"	"2cd4p9h.yfz"	"Carex ornithopoda Willd."	3	3	"Carex ornithopoda"				
"Carex muricata L."	"2cd4p9h.yg2"	"2cd4p9h.yg2"	"Carex muricata L."	4	4	"Carex muricata"				
"Carex magellanica Lam."	"2cd4p9h.yg8"	"2cd4p9h.yg8"	"Carex magellanica Lam."	9	9	"Carex magellanica"				
"Catapodium marinum (L.) C.E.Hubb."	"2cd4p9h.ygb"	"2cd4p9h.ygb"	"Catapodium marinum (L.) C.E.Hubb."	5	5	"Catapodium marinum"				
"Centaurea nigra L. s.s."	"2cd4p9h.ygh"	"2cd4p9h.ygh"	"Centaurea nigra L. s.s."	5	5	"Centaurea nigra"	"s.s."			
"Cephalanthera damasonium (Mill.) Druce"	"2cd4p9h.ygt"	"2cd4p9h.ygt"	"Cephalanthera damasonium (Mill.) Druce"	4	4	"Cephalanthera damasonium"				
"Erysimum cheiri (L.) Crantz"	"2cd4p9h.yh4"	"2cd4p9h.yh4"	"Erysimum cheiri (L.) Crantz"	4	4	"Erysimum cheiri"				
"Chelidonium majus L."	"2cd4p9h.yha"	"2cd4p9h.yha"	"Chelidonium majus L."	5	5	"Chelidonium majus"				
"Tanacetum parthenium (L.) Sch.Bip."	"2cd4p9h.yhw"	"2cd4p9h.yhw"	"Tanacetum parthenium (L.) Sch.Bip."	4	4	"Tanacetum parthenium"				
"Cochlearia anglica L."	"2cd4p9h.yhm"	"2cd4p9h.yhm"	"Cochlearia anglica L."	8	8	"Cochlearia anglica"				
"Cochlearia danica L."	"2cd4p9h.yhp"	"2cd4p9h.yhp"	"Cochlearia danica L."	6	6	"Cochlearia danica"				
"Cochlearia officinalis L. s.s."	"2cd4p9h.yhs"	"2cd4p9h.yhs"	"Cochlearia officinalis L. s.s."	6	6	"Cochlearia officinalis"	"s.s."			
"Colchicum autumnale L."	"2cd4p9h.yv3"	"2cd4p9h.yv3"	"Colchicum autumnale L."	6	6	"Colchicum autumnale"				
"Pseudofumaria lutea (L.) Borkh."	"2cd4p9h.yv6"	"2cd4p9h.yv6"	"Pseudofumaria lutea (L.) Borkh."	6	6	"Pseudofumaria lutea"				
"Crataegus laevigata (Poir.) DC."	"2cd4p9h.yv9"	"2cd4p9h.yv9"	"Crataegus laevigata (Poir.) DC."	5	5	"Crataegus laevigata"				
"Crepis mollis (Jacq.) Asch."	"2cd4p9h.yvc"	"2cd4p9h.yvc"	"Crepis mollis (Jacq.) Asch."	5	5	"Crepis mollis"				
"Cuscuta epithymum (L.) L."	"2cd4p9h.yvx"	"2cd4p9h.yvx"	"Cuscuta epithymum (L.) L."	6	6	"Cuscuta epithymum"				
"Cuscuta europaea L."	"2cd4p9h.yvy"	"2cd4p9h.yvy"	"Cuscuta europaea L."	7	7	"Cuscuta europaea"				
"Dianthus deltoides L."	"2cd4p9h.yw8"	"2cd4p9h.yw8"	"Dianthus deltoides L."	3	3	"Dianthus deltoides"				
"Diapensia lapponica L."	"2cd4p9h.ywe"	"2cd4p9h.ywe"	"Diapensia lapponica L."	3	3	"Diapensia lapponica"				
"Digitalis purpurea L."	"2cd4p9h.ywh"	"2cd4p9h.ywh"	"Digitalis purpurea L."	6	6	"Digitalis purpurea"				
"Diplotaxis muralis (L.) DC."	"2cd4p9h.ywk"	"2cd4p9h.ywk"	"Diplotaxis muralis (L.) DC."	4	4	"Diplotaxis muralis"				
"Echium vulgare L."	"2cd4p9h.ywn"	"2cd4p9h.ywn"	"Echium vulgare L."	4	4	"Echium vulgare"				
