Transect number:,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Quadrat no:,3N,6N,9N,12N,15N,18N,21N,24N,27N,30N,33N,36N,39N,42N,45N,48N,51N,0S,3S,6S,9S,12S,15S,18S,21S,24S,27S,30S,33S,36S,39S,42S,45S,48S,51S,54S,57S,60S,3N,6N,9N,12N,15N,18N,21N,24N,27N,30N,33N,36N,39N,42N,45N,48N,51N,0S,3S,6S,9S,12S,15S,18S,21S,24S,27S,30S,33S,36S,39S,42S,45S,48S,51S,0S,3S,6S,9S,12S,15S,18S,21S,24S,27S,30S,33S,36S,39S,42S,45S,48S,51S,54S,57S,60S,0S,3S,6S,9S,12S,15S,18S,21S,24S,27S,30S,33S,36S,39S,42S,45S,48S,51S,54S,57S,60S
Vegetation height (cm):,3,2,3,3,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,4,5,4,6,3,4,4,6,4,5,4,4,4,3,3,4,3,3,3,4,3,3,4,2,4,2,4,4,3,5,4,5,4,4,3,4,3,3,4,3,3,4,4,4,3,4,3,4,4,7,3,4,3,3,3,3,4,3,5,7,5,5,4,5,4,4,4,4,4,3,4,5,4,5,2,3,2,3,1,2,3,3,2,3,3,3,3,3,3,4,4,3,3,3,3
Recorder:,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,TW,TW,TW,TW,TW,TW,TW,TW,JW,TW,TW,JW,TW,TW,JW,TW,TW,JW,TW,TW,JW,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,TW,PH,JW,TW,TW,PH,TW,JW,TW,JW,TW,JW,TW,JW,TW,JW,TW,JW,TW,JW,TW,JW,TW,TW,TW,JW,TW,JW,TW,TW,TW,JW,TW,TW,TW,JW,TW,JW,TW,JW,TW,JW,TW,JW,TW,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,PH,JW,PH,JW,JW,PH,JW
Species:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acrocladium cuspidatum ,1,,,1,,,,,,,,,1,,,,,,,,,,,1,2,,1,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,2,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Agrostis stolonifera,1,2,,,2,2,2,3,3,3,3,,,,,2,3,1,2,,,,,,,1,,1,2,,3,,2,,,,,,3,,,2,3,2,,3,,,3,1,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,2,,,,,,,,,,5,1,,1,,,,2,3,,,,,2,2,,2,1,2,2,2,2,,,,,2,1
Anacamptis morio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthoxanthum odoratum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anthyllis vulneraria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrhenatherum elatius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asperula cynanchica,,2,,,,,,1,1,,,,,2,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,
Avenula pratensis,2,3,3,3,3,3,3,3,3,3,3,3,3,3,,2,,2,2,2,2,3,3,2,2,1,2,,,4,,5,,3,1,1,2,2,3,3,,3,,3,3,3,3,3,3,2,3,,4,1,3,,3,,3,3,3,,1,3,1,4,1,3,1,1,1,,4,4,2,3,1,,2,2,2,4,3,4,3,,2,3,,1,,,3,,3,3,3,3,3,3,3,,3,,3,3,3,2,3,,3,,,3,
Avenula pubescens,2,,2,2,,,3,3,2,3,3,3,,3,4,3,3,1,2,,1,1,,1,1,,1,4,2,4,3,3,1,2,1,2,2,3,3,3,3,3,3,3,3,3,,3,3,4,3,3,,,3,1,1,,1,2,1,,2,1,,1,1,,1,,,,,5,2,,2,2,2,5,,4,,3,2,2,2,,2,4,3,,2,2,3,4,3,,3,2,,3,3,3,,,3,2,3,2,,3,,,
Bare ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellis perennis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Brachypodium pinnatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brachypodium sylvaticum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
